Year	Antigua and Barbuda	Barbados	Belize	Canada	Costa Rica	Cuba	Dominica	Dominican Republic	El Salvador	Greenland	Grenada	Guatemala	Haiti	Honduras	Jamaica	Mexico	Nicaragua	Panama	Saint Kitts and Nevis	Saint Lucia	Saint Vincent and the Grenadines	The Bahamas	United States of America	Argentina	Bolivia	Brazil	Chile	Colombia	Ecuador	French Guiana	Guyana	Paraguay	Peru	Suriname	Trinidad and Tobago	Uruguay	Venezuela	Albania	Andorra	Austria	Belarus	Belgium	Bosnia and Herzegovina	Bulgaria	Croatia	Czechia	Denmark (Europe)	Estonia	Finland	France (Europe)	Germany	Greece	Hungary	Iceland	Ireland	Italy	Kosovo	Latvia	Liechtenstein	Lithuania	Luxembourg	Macedonia	Malta	Moldova	Monaco	Montenegro	Netherlands	Norway	Poland	Portugal	Republic of Serbia	Romania	San Marino	Slovakia	Slovenia	Spain	Sweden	Switzerland	Ukraine	United Kingdom (Europe)	Algeria	Angola	Benin	Botswana	Burkina Faso	Burundi	Cabo Verde	Cameroon	Central African Republic	Chad	Comoros	Democratic Republic of the Congo	Djibouti	Equatorial Guinea	Eritrea	Eswatini	Ethiopia	Gabon	Gambia	Ghana	Guinea	Guinea-Bissau	Ivory Coast	Kenya	Lesotho	Liberia	Libya	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Republic of the Congo	Rwanda	Senegal	Seychelles	Sierra Leone	Somalia	South Africa	South Sudan	Sudan	São Tomé and Principe	Togo	Tonga	Tunisia	Uganda	United Republic of Tanzania	Western Sahara	Zambia	Zimbabwe	Afghanistan	Armenia	Azerbaijan	Bangladesh	Bhutan	Cambodia	China	Georgia	India	Japan	Kazakhstan	Kyrgyzstan	Laos	Maldives	Mongolia	Myanmar	Nepal	North Korea	Pakistan	Russia	South Korea	Sri Lanka	Taiwan	Tajikistan	Thailand	Turkmenistan	Uzbekistan	Vietnam	Bahrain	Cyprus	Egypt	Iran	Iraq	Israel	Jordan	Kuwait	Lebanon	Northern Cyprus	Oman	Palestine	Qatar	Saudi Arabia	Syria	Turkey	United Arab Emirates	Yemen	Australia	Brunei	East Timor	Federated States of Micronesia	Fiji	Indonesia	Kiribati	Malaysia	Marshall Islands	Nauru	New Zealand	Palau	Papua New Guinea	Philippines	Samoa	Singapore	Solomon Islands	Tuvalu	Vanuatu	Arctic Ocean	Indian Ocean	North Atlantic	North Pacific	South Atlantic	South Pacific	Southern Ocean	Antarctica 
1880	-0.943098	-1.134018	-0.487938	-1.295720	-0.580183	-0.288990	-1.074732	-0.687960	-0.478861	-0.808357	-1.199322	-0.488243	-0.633446	-0.485594	-0.505043	-0.837074	-0.522003	-0.753168	-0.940611	-1.137974	-1.149706	-0.203035	-0.823365	-0.546106	-0.700123	-0.569389	-0.431016	-1.038301	-9999	-0.918005	-1.075750	-0.663712	-9999	-0.987127	-1.272480	-0.747099	-1.176950	-0.311482	-0.096350	-0.050456	-0.620888	0.186136	-0.244839	-0.881721	-0.277877	-0.002924	-0.007837	-0.595443	-0.817408	-0.115170	0.062877	-0.593008	-0.415830	0.171221	-0.297719	-0.146778	-0.390049	-0.468689	0.037916	-0.414611	0.213284	-0.463980	-0.113781	-1.195021	-0.041983	-0.273838	0.123110	-0.437401	-0.153776	-0.760055	-0.472406	-0.921734	-0.251104	-0.255972	-0.248741	-0.454068	-0.384176	0.046603	-1.155052	-0.214262	-0.570616	-1.251419	-0.467356	-0.914812	-0.437988	-0.773540	-0.654985	-0.862995	-0.751842	-0.514206	-0.538824	-0.970345	-0.370110	-0.996943	-0.337582	-0.774874	-0.411074	-1.138214	-0.368593	-0.346268	-0.161352	-0.236103	-0.206457	-0.502266	-0.817130	-0.057459	-0.301254	-0.638891	-0.686930	-0.646498	-0.888725	-9999	-0.995827	-0.672274	-0.979738	-0.570473	-0.630030	-1.169176	-0.757416	-0.444607	-0.678528	-0.023350	-0.485405	-0.844500	-0.512516	-0.352365	-0.876644	-0.404716	-9999	-0.160221	-0.621590	-0.617746	-1.141880	-0.873730	-0.811819	-0.008217	-1.477438	-1.400682	-0.634226	-0.434608	-0.781738	-0.655547	-1.650904	-0.296736	-0.396862	-0.716112	-0.555500	-0.846869	-0.617262	-0.678816	-0.707001	-0.344253	-0.505090	0.130428	-0.346452	-0.654154	-0.443541	-1.040497	-0.471060	-0.762690	-0.751367	-0.805557	-0.868071	-0.537161	-0.922300	-0.363588	-0.558832	-1.039833	-0.720873	-0.782370	-0.783361	-0.889427	-1.015953	-0.360697	-0.763388	-0.440203	-0.556780	-1.109268	-1.422584	-0.329401	-0.413904	-0.103439	-1.001362	-0.627775	-9999	-9999	-0.866278	-9999	-0.884096	-9999	-9999	-0.013705	-9999	-9999	-0.951706	-9999	-0.835150	-9999	-9999	-9999	-0.436663	-0.318846	-0.080832	-0.313329	-0.395335	-0.007347	-9999	-9999	
1881	-0.665066	-0.559225	-0.459286	-0.516628	-0.544451	-0.524250	-0.641159	-0.759119	-0.450033	-0.377129	-0.531628	-0.440323	-0.795544	-0.479265	-0.864754	-0.586641	-0.544001	-0.520788	-0.682341	-0.605753	-0.627634	-0.455473	-0.250486	-0.699777	-0.469851	-0.450853	-0.640471	-0.566975	-0.458492	-0.382360	-0.431101	-0.516462	-0.488022	-0.391369	-0.520334	-0.479967	-0.604013	-0.728087	0.113149	-0.833526	-1.564338	-0.652554	-0.952176	-1.273671	-0.973039	-1.191232	-1.674857	-1.803050	-1.975374	-0.319322	-0.971088	-0.703209	-1.401126	-1.106123	-0.880179	-0.364264	-0.943894	-1.654996	-0.418994	-1.587858	-0.573383	-0.884945	0.155294	-1.727138	-0.396871	-0.876108	-0.928402	-1.704437	-1.407875	0.208960	-1.193602	-1.588335	-0.655101	-1.405386	-0.869391	0.221899	-1.967976	-0.408877	-1.625499	-0.946935	0.295938	-0.882973	-0.122301	-0.694715	-0.013819	-0.597342	-0.283745	-0.494650	-0.462566	-0.180954	-9999	-0.689110	0.119530	-0.582148	0.115719	-0.651134	-0.084526	-0.700983	-0.035477	-0.116934	-0.042889	-0.050474	-0.093876	-0.377684	-0.677279	-0.104082	0.007317	-9999	-9999	0.131399	0.163729	-9999	0.110575	-0.606384	-0.665312	-0.009083	-0.254656	-0.756872	-0.573586	-0.019192	-9999	-0.059238	-0.169970	-0.637836	-0.286037	-0.055521	-0.471640	-0.117233	-9999	0.128418	-0.444956	-9999	0.167774	-0.701902	-0.675495	0.256936	-0.837501	-0.836036	-0.637739	-0.488091	-0.744944	-0.536562	-1.040669	-0.459959	-0.651265	-0.338728	-0.161847	-0.694319	-0.341829	-0.821658	-0.641012	-0.452563	-0.706289	0.089779	-0.653165	-0.705057	-0.224249	-0.721952	0.025022	-0.629925	-0.004910	0.020920	-0.756536	0.159035	-0.512419	-0.119646	0.054062	-0.292110	-0.189402	-0.215563	0.059046	-0.307636	-0.584202	-0.031178	-0.196651	0.151934	0.027588	-0.456934	-0.921983	0.065094	0.109844	0.043125	-1.044561	-0.341187	-9999	-9999	-0.616192	-9999	-0.770887	-9999	-9999	-0.197172	-9999	-9999	-0.918812	-9999	-0.430136	-9999	-9999	-9999	-0.586565	-0.218770	-0.052217	-0.213565	-0.259247	-0.004927	-9999	-9999	
1882	-0.760174	-0.697720	-0.482159	-0.917421	-0.778872	-0.456879	-0.741659	-0.838488	-0.554636	-2.030403	-0.759029	-0.524858	-0.865799	-0.555368	-0.926752	-0.705378	-0.676935	-0.888723	-0.790030	-0.759678	-0.803446	-0.295435	-0.575582	-0.631074	-0.785933	-0.824287	-0.534764	-1.004812	-0.847857	-0.628496	-0.754248	-0.872959	-0.805895	-0.675964	-0.842281	-0.968933	-0.986561	-0.208352	-0.016191	0.168586	0.662419	-0.060569	0.238847	-0.226416	0.330002	0.224028	0.399924	0.609100	0.367527	-0.254148	0.071445	-0.712428	0.289482	-1.566365	-0.240752	-0.031360	-0.076112	0.609982	-0.180548	0.638547	-0.076589	-0.258455	-0.376947	0.257133	-0.140438	0.005003	0.013275	0.118578	0.501287	-0.718857	0.086212	0.102825	0.143319	0.361152	0.319369	-0.432756	0.430946	-0.225900	0.304450	-0.076450	-0.603224	-0.637379	-0.582880	-0.693159	-0.526236	-0.595619	-0.283428	-0.713591	-0.626850	-0.761232	-9999	-0.640942	-0.353661	-0.770739	-0.455206	-0.905403	-0.419512	-0.757071	-0.206383	-0.528185	-0.322950	-0.233547	-0.459553	-0.527931	-0.935183	-0.409319	-0.808462	-9999	-9999	-0.520172	-0.378302	-9999	-0.525488	-0.767982	-0.515215	-0.770741	-0.672319	-0.718063	-0.589306	-0.231499	-9999	-0.337269	-0.467463	-0.743988	-0.503254	-0.658710	-0.771002	-0.549688	-9999	-0.510431	-0.547064	-9999	-0.359972	-0.669701	-0.769213	-0.558200	-0.957334	-0.834247	-0.441889	-0.429760	-0.748741	-0.408611	-0.909791	-0.515314	-0.533650	-0.812245	-0.883655	-0.729288	-0.563383	-0.357439	-0.598799	-0.439393	-0.399873	-0.408840	-0.387973	-0.628770	-0.451868	-0.858961	-0.754470	-0.718252	-0.717976	-0.808049	-0.758493	-0.824512	-1.427851	-1.020212	-0.737009	-1.072147	-1.065825	-1.022448	-1.008448	-1.164608	-1.404491	-0.600887	-1.077248	-0.730684	-0.818161	-1.138138	-1.032060	-0.637506	-0.459837	-0.098537	-0.702116	-0.435202	-9999	-9999	-0.711615	-9999	-0.730490	-9999	-9999	-0.552606	-0.666933	-0.630793	-0.735228	-9999	-0.864347	-9999	-9999	-9999	-0.834778	-0.273875	-0.196509	-0.145613	-0.251196	0.033260	-9999	-9999	
1883	-0.889645	-0.927635	-0.673313	-1.568654	-0.804495	-0.155754	-0.931406	-0.624245	-0.692593	-0.150255	-0.894192	-0.749578	-0.499701	-0.630781	-0.312122	-0.848175	-0.609402	-1.019533	-0.867634	-0.927738	-0.925091	-0.078623	-0.919792	-0.622208	-0.753139	-0.798965	-0.717222	-1.102108	-1.094582	-0.833429	-0.897310	-0.760443	-0.926430	-0.866001	-0.862209	-0.482201	-0.984406	-0.932825	-0.531103	-0.663044	-0.494669	-0.268486	-0.904996	-0.833271	-0.816839	-0.658372	-0.247364	-0.301934	0.585756	-0.598222	-0.399694	-0.859943	-0.953431	-0.128196	-0.640018	-0.897545	-0.945786	-0.318890	-0.589463	-0.424412	-0.311134	-0.909610	-0.856813	-0.869699	-0.821548	-0.962305	-0.266589	0.552347	-0.644268	-1.228865	-0.940729	-0.999916	-0.818029	-0.950489	-0.744914	-0.952120	0.433117	-0.668750	-0.809602	-0.417067	-0.760307	-0.656693	-0.280485	-0.637732	-0.324675	-0.684845	-0.594189	-0.468792	-0.571703	-0.621933	-9999	-0.653643	-0.492920	-0.416224	-0.521076	-0.682236	-0.579472	-0.482779	-0.427723	-0.321615	-0.425892	-9999	-0.382874	-0.664419	-0.655249	-9999	-0.819231	-9999	-9999	-0.487486	-0.587063	-9999	-0.844252	-0.703020	-0.576508	-0.561073	-0.359285	-0.567564	-0.682652	-0.447060	-9999	-9999	-0.598978	-0.617558	-0.623915	-0.615654	-0.287735	-0.291513	-0.835346	-0.845543	-0.668001	-9999	-0.717014	-0.677515	-0.688223	-0.374890	-0.461062	-0.377894	-0.883446	-0.824563	-0.913563	-0.765242	-0.554307	-0.772034	-0.872673	-0.831603	-0.688350	-0.960604	-0.654139	-0.774783	-0.833155	-0.714990	-0.709599	-0.502224	-0.419296	-0.684394	-0.636959	-0.933344	-0.489716	-0.834606	-0.366958	-0.573015	-0.999876	-0.226864	-0.899748	-0.755396	-0.194172	-0.394436	-0.687225	-0.629852	-0.208368	-0.723650	-0.905329	-0.538731	-0.679026	-0.295637	-0.433817	-0.636457	-0.707870	-0.405117	-0.485712	-0.200686	-0.825333	-0.234177	-9999	-0.925987	-0.728794	-0.624380	-0.873056	-9999	-9999	-0.718885	-0.717524	-0.658926	-0.827641	-0.811186	-1.062757	-9999	-0.817102	-1.058933	-0.067377	-0.297735	-0.319056	-0.117453	-0.279642	-0.131330	-0.831003	-9999	
1884	-0.858349	-0.874027	-0.957720	-1.568447	-0.979870	-0.652821	-0.845940	-0.846754	-0.982458	-1.879286	-0.910219	-1.005270	-0.844097	-0.941484	-0.875195	-0.725672	-0.926233	-1.007744	-0.861515	-0.880018	-0.888805	-0.467299	-0.962689	-0.643948	-0.848019	-0.903696	-0.909806	-1.080622	-1.052952	-0.892340	-0.947218	-0.643118	-1.013081	-0.911495	-0.965961	-0.409563	-1.043566	-1.105422	-0.360435	-0.216142	-0.298735	0.402575	-0.966170	-1.059147	-0.701214	-0.060867	0.416918	-0.245063	-0.280715	-0.105173	0.250498	-1.033957	-0.641379	-0.001351	-0.084792	-0.719017	-1.107327	-0.109356	-0.073802	-0.046081	0.371252	-1.074151	-0.908796	-0.789640	-0.207415	-1.129538	0.455690	0.225247	-0.021147	-0.763569	-0.985364	-0.955192	-0.791274	-0.439340	-0.564571	-0.789327	0.145441	-0.039597	-0.726485	0.196259	-1.006237	-0.838552	-9999	-0.797644	-9999	-0.858864	-1.051086	-0.813284	-0.827688	-0.955278	-0.903088	-0.858261	-0.617594	-0.793066	-0.736004	-0.864992	-0.718477	-0.826227	-0.710365	-9999	-0.606699	-0.666861	-9999	-0.807777	-0.830803	-9999	-1.142900	-0.972521	-0.891186	-0.854355	-0.910591	-1.102842	-0.891039	-0.896866	-0.736809	-0.989729	-9999	-0.855947	-0.855419	-0.731297	-0.910925	-0.551554	-0.701097	-0.790976	-0.809429	-0.876099	-0.710302	-9999	-1.285328	-0.940535	-0.822823	-0.860001	-1.010679	-0.844883	-0.859560	-0.518013	-1.080657	-0.935439	-0.992685	-0.909820	-1.088198	-0.954107	-1.171211	-0.874762	-1.738077	-0.982809	-0.505021	-1.138905	-0.704538	-0.764627	-1.042967	-0.713031	-1.600304	-0.484428	-0.788951	-1.561799	-0.676958	-1.214991	-0.636984	-1.018610	-0.851478	-0.937726	-1.171143	-0.516941	-1.277473	-1.162312	-0.540144	-0.950161	-1.203449	-1.140285	-0.656328	-1.225700	-1.286573	-0.461786	-1.192644	-0.476664	-0.721107	-1.191042	-1.239723	-0.444603	-0.539087	-0.121544	-1.304153	-0.962402	-9999	-1.262730	-1.099302	-0.872053	-1.159168	-9999	-9999	-1.365281	-1.074877	-0.720613	-1.248192	-1.079781	-1.184364	-9999	-1.037964	-0.980989	-0.644952	-0.366334	-0.409778	-0.344130	-0.482159	-0.224105	-0.934730	-9999	
1885	-0.462797	-0.656502	-1.068544	-0.615791	-0.790785	-0.595146	-0.502150	-0.508806	-1.025610	-0.662409	-0.692759	-1.026136	-0.517490	-1.004868	-0.626698	-0.593277	-0.939484	-0.737810	-0.467794	-0.607655	-0.585522	-0.355881	-0.730773	-1.108792	-0.820478	-0.601740	-1.059602	-0.771391	-9999	-0.902349	-0.932070	-0.734404	-9999	-0.937010	-0.720699	-1.023983	-0.760622	-0.246400	-0.494934	-0.141521	-0.105245	-0.644786	-0.231909	-0.205593	-0.135990	-0.238008	-0.744843	-0.366669	-1.000655	-0.594624	-0.525419	-0.268699	-0.123262	-1.484022	-0.887778	-0.273727	-0.245543	-0.311909	-0.133811	-0.342968	-0.539127	-0.241102	-0.267218	-0.091605	-0.420546	-0.251354	-0.721590	-0.988459	-0.295497	-1.155593	-0.213655	-0.180226	-0.251714	-0.187877	-0.141824	-0.950360	-0.949204	-0.312856	-0.097267	-0.886693	-0.907349	-0.240826	-9999	-0.366484	-9999	-0.569231	-1.049295	-0.579483	-0.579195	-0.729494	-0.743582	-0.478168	-0.322653	-0.522520	-0.395565	-0.631981	-0.455288	-0.454050	-0.944313	-9999	-0.947374	-0.949535	-9999	-0.582884	-0.506723	-0.851366	-0.597738	-0.800043	-0.675224	-0.983335	-1.042770	-0.826872	-1.074919	-0.701029	-0.219168	-0.862211	-9999	-0.427277	-0.569588	-0.965210	-0.769432	-0.917194	-0.468891	-0.427700	-0.568060	-0.585436	-0.533348	-9999	-1.211494	-0.470535	-0.565210	-0.639490	-1.081026	-0.484915	-0.557577	-0.876793	-0.589336	-0.597557	-0.581779	-0.708271	-0.645395	-0.810155	-0.554500	-0.727980	-1.243921	-0.689624	-0.300320	-0.795389	-0.687414	-0.494581	-0.666107	-0.755542	-0.958230	-0.779903	-1.290364	-1.028174	-0.523317	-1.151373	-0.761732	-0.592350	-0.823151	-0.763882	-0.826782	-0.573971	-0.214685	-0.593922	-0.667017	-0.605659	-0.382130	-0.452463	-0.596582	-0.302132	-0.235943	-0.473591	-0.338757	-0.536760	-0.491066	-0.429979	-0.399002	-0.534136	-0.319096	-0.230614	-0.728546	-0.710051	-9999	-1.286596	-0.731960	-0.730627	-0.613287	-9999	-9999	-0.840969	-0.800425	-0.736570	-0.894993	-1.012341	-0.642942	-9999	-0.970024	-0.979483	-0.830298	-0.507516	-0.286305	-0.303476	-0.516820	-0.255047	-9999	-9999	
1886	-0.806759	-0.785656	-0.764269	-1.120169	-0.539064	-0.788841	-0.775251	-0.808647	-0.630833	-1.617674	-0.873354	-0.696924	-0.772873	-0.650688	-0.611233	-0.793558	-0.594940	-0.545967	-0.814674	-0.794292	-0.810030	-1.017790	-0.704483	-0.786127	-0.962727	-0.893755	-0.824352	-0.815800	-0.845564	-0.922026	-0.968040	-0.892807	-1.003241	-0.948025	-0.971125	-1.042887	-0.903910	-0.250611	-0.774822	-0.106537	-0.370582	-0.272526	-0.242846	-0.077461	-0.125448	-0.171995	-0.670673	-0.252388	0.115274	-0.463952	-0.258053	-0.279609	-0.086814	-1.581655	-0.832697	-0.317523	-0.193951	-0.354182	-0.111540	-0.458975	-0.176557	-0.188745	-0.628813	0.013803	-0.357852	-0.243097	-0.432924	-0.359682	-0.352444	-0.802507	-0.108437	0.035458	-0.256887	-0.211541	-0.071425	-0.738341	-0.172780	-0.265368	-0.196994	-0.852051	-0.869316	-0.225983	-0.685875	-0.244799	-0.755348	-0.611221	-0.999750	-0.700645	-0.696215	-0.944122	-9999	-0.545183	-0.234146	-0.607523	-0.482117	-0.490437	-0.424334	-0.530235	-0.821598	-0.645498	-0.807064	-0.820658	-0.699535	-0.564995	-0.411811	-0.739079	-0.910379	-9999	-0.625902	-0.863701	-0.875074	-9999	-0.885303	-0.627029	-0.089594	-0.938673	-0.755733	-0.525942	-0.619766	-0.837662	-9999	-0.791409	-0.366791	-0.365194	-0.628605	-0.826851	-0.553375	-0.645805	-0.995125	-0.657158	-0.591360	-9999	-0.900120	-0.429708	-0.452066	-0.801433	-1.096360	-1.130350	-0.443251	-0.434901	-0.802776	-0.711356	-1.032528	-0.484911	-0.298906	-1.623333	-1.469180	-0.836399	-0.645159	-0.341641	-0.571928	-0.551163	-0.389035	-0.416382	-0.742574	-0.672595	-0.365339	-1.381691	-1.317661	-0.700098	-1.524587	-1.742764	-0.920029	-0.456329	-0.659403	-0.942896	-0.739676	-0.905725	-1.020323	-1.033468	-0.616291	-0.844044	-0.650278	-0.275354	-0.994331	-0.378620	-0.621233	-0.895500	-0.654730	-0.332745	-0.252323	-0.240305	-1.025625	-0.526857	-9999	-0.939436	-0.708174	-0.730640	-0.778952	-9999	-9999	-0.709991	-0.926363	-0.606913	-1.230141	-0.890526	-0.445141	-9999	-0.876339	-0.759710	-1.295428	-0.438010	-0.100798	-0.440877	-0.393555	-0.400905	-9999	-9999	
1887	-0.931789	-0.914566	-0.872347	-1.876732	-0.893742	-0.647774	-0.918642	-0.922279	-0.888487	-2.255943	-0.890881	-0.922989	-0.865934	-0.836092	-0.766880	-0.955191	-0.846140	-0.906633	-0.946915	-0.914762	-0.911667	-0.717867	-0.773988	-0.678942	-0.525059	-0.608252	-0.730798	-0.975477	-0.980818	-0.764149	-0.793989	-0.363033	-0.865299	-0.766090	-0.882414	-0.826130	-0.932663	-0.303227	-1.417709	-1.104342	-0.133121	-1.274206	-0.695319	-0.191029	-0.849541	-1.128215	-0.773856	0.107611	0.245334	-1.246621	-1.259922	-0.145643	-0.964042	-1.534775	-0.647350	-0.775823	-0.372421	-0.048958	-1.327347	-0.249462	-1.283189	-0.276175	-0.142227	-0.096590	-1.312367	-0.426224	-1.243824	-0.330028	-0.784214	-0.657276	-0.541498	-0.362953	-0.885366	-1.057912	-0.945404	-0.941792	-0.056040	-1.431586	-0.132732	-0.852041	-0.589203	-0.695961	-1.262758	-0.710779	-1.074099	-0.775791	-0.805605	-1.212849	-0.974009	-0.876503	-0.861469	-0.840395	-0.669044	-1.292807	-0.756033	-1.049715	-0.723660	-1.177855	-0.735455	-1.201216	-0.928486	-0.795874	-1.094795	-0.771673	-1.004931	-1.033304	-0.448442	-0.982630	-0.858500	-0.831053	-0.595348	-1.013720	-0.563128	-0.927076	-0.514957	-0.931911	-1.265324	-1.047678	-0.781357	-0.731384	-0.878979	-0.957705	-0.747126	-0.838787	-0.778610	-0.735947	-1.367313	-1.251959	-0.844856	-0.449753	-0.772270	-0.791880	-0.491049	-0.746336	-0.854128	-0.414315	-0.456302	-0.285847	-0.713064	-0.696697	-1.037758	-0.678291	-0.299027	-0.701544	-0.571880	0.047066	-0.370503	-0.900068	-0.852324	-0.549136	-0.721306	-0.774060	-0.555711	-0.377071	-0.433254	-0.523824	-0.688253	-0.869064	-0.417689	-0.902676	-0.315234	-0.245309	-0.993517	-0.642141	-0.305187	-0.509268	-0.455095	-0.530602	-0.434715	-0.533663	-0.573298	-0.323555	-0.308514	-0.688488	-0.408176	-0.668652	-0.731575	-0.411957	-0.344991	-0.669353	-0.764362	-0.597664	-1.281408	-0.960054	-9999	-0.837706	-1.100897	-0.809498	-1.167490	-9999	-9999	-0.435594	-1.036860	-0.916605	-1.169647	-0.857979	-1.122000	-9999	-0.854961	-0.925180	-1.228155	-0.482107	-0.108754	-0.513900	-0.608265	-0.298585	-9999	-9999	
1888	-0.590864	-0.528229	-0.886057	-0.914591	-0.840063	-0.402210	-0.533424	-0.467051	-0.883715	-0.627132	-0.439098	-0.921030	-0.418310	-0.834291	-0.464451	-0.816303	-0.796160	-0.776001	-0.574837	-0.507170	-0.482866	-0.480963	-0.651892	-0.348330	-0.396446	-0.302732	-0.544066	-0.700611	-9999	-0.450657	-0.371073	-0.142859	-9999	-0.405525	-0.337093	-0.193104	-0.475689	-0.826933	-1.239952	-1.157731	-1.755300	-1.354298	-1.053796	-1.213404	-1.135998	-1.333686	-1.586227	-2.327886	-2.333930	-1.147684	-1.389760	-0.784550	-1.497513	-1.176298	-0.855065	-0.861176	-1.018040	-2.093897	-1.049936	-1.855427	-1.308488	-0.948480	-0.350586	-1.463901	-1.218314	-0.955725	-1.436481	-1.554029	-1.527510	-1.069171	-1.288338	-1.449310	-0.962680	-1.462078	-1.070980	-1.117665	-1.933577	-1.188994	-1.425875	-1.080078	-0.681297	-0.590603	-0.997444	-0.620687	-0.958199	-0.615549	-0.449528	-0.862095	-0.762453	-0.718180	-0.546507	-0.639591	-0.515015	-0.936228	-0.889881	-0.658657	-0.649834	-0.841413	-0.603252	-1.131041	-0.857096	-0.674868	-1.062317	-0.614328	-0.636732	-0.964228	-0.593477	-0.602608	-0.592283	-0.786325	-0.675322	-0.628920	-0.811638	-0.609680	-0.616589	-0.694847	-0.904711	-0.740286	-0.630119	-0.634817	-0.537655	-0.875193	-0.453537	-0.648119	-0.738892	-0.798639	-1.002226	-1.073090	-9999	-0.550789	-0.672911	-0.577650	-0.683422	-0.565905	-0.614305	0.213925	-0.131828	0.102770	-0.554193	-0.545100	-0.458012	-0.547658	-0.245467	-0.418547	-0.636349	0.822276	0.735971	-0.452471	-0.466265	-0.768975	-0.454447	-0.501182	-0.774432	-0.208973	-0.996868	-0.518620	-0.273060	-0.346460	0.466681	-0.425989	0.807420	1.063309	-0.468847	-0.305885	-0.625988	-0.738131	0.165514	-0.167437	-0.479244	-0.521482	-0.190741	-0.498978	-0.638571	-0.446545	-0.447006	-0.359417	-0.560411	-0.443802	-0.637182	-0.422314	-0.463537	0.214867	-0.475883	-0.507635	-9999	-9999	-0.561863	-0.601566	-0.444149	-9999	-9999	-1.153756	-0.609915	-0.537706	-0.484188	-9999	-0.449989	-9999	-9999	-9999	-0.846741	-0.306969	-0.116204	0.046363	-0.826803	-0.102639	-0.881885	-9999	
1889	-0.270010	-0.225294	-0.537203	0.193037	-0.295574	-0.298319	-0.264109	-0.289396	-0.478176	-0.951344	-0.097015	-0.567934	-0.261778	-0.400530	-0.189102	-0.608858	-0.345430	-0.190979	-0.241302	-0.190416	-0.154003	-0.461288	-0.021223	-1.062887	-0.580446	-0.198082	-1.049048	-0.187223	-9999	-0.409643	-0.306616	-0.480755	-9999	-0.388969	0.040415	-0.689915	-0.112513	-0.664903	-1.080363	-0.943952	-0.584781	-0.960176	-0.862247	-0.710477	-0.873755	-0.859429	-0.196002	-0.427442	0.436672	-1.014401	-0.859476	-0.481903	-0.940857	0.150364	-0.260623	-0.895050	-0.748680	-0.534463	-1.211118	-0.639276	-1.010845	-0.661123	-0.469549	-0.801332	-1.058957	-0.777353	-0.727888	0.404590	-0.703728	-1.557712	-0.881817	-0.815837	-0.936032	-0.842947	-0.818087	-1.316442	0.257822	-1.183436	-0.729098	-0.348716	-0.834190	0.125330	-1.138086	-0.110704	-1.031860	-0.085159	-1.011578	-0.572378	-0.274851	-0.312897	-0.249508	-0.066652	-0.150595	-0.563604	0.118168	-0.227957	-0.144596	-0.350349	-1.020557	-1.001623	-1.180910	-1.093363	-1.051434	-0.238434	-0.310310	-1.105713	-0.346746	-0.229250	-0.138456	-0.970846	-0.994482	-0.629120	-1.177843	-0.166082	-0.028046	-0.660011	-0.937889	-0.201599	-0.097425	-1.034222	-0.507202	-1.222797	-0.321987	-0.329397	-0.088408	-0.029032	-0.723913	-1.064268	-9999	-0.475101	-0.123091	-0.181190	-1.026798	-0.015429	-0.107368	-0.372272	-0.201828	-0.357426	0.024406	0.099174	-0.324442	-0.517907	-0.460433	-0.139191	-1.191269	-1.370040	-0.573759	-0.334093	-0.212557	-1.096649	-0.137278	0.028924	-1.167228	-0.178806	-0.652870	-1.126754	-0.089949	-0.562757	-0.590162	-0.273777	-0.876888	-1.108507	-0.381302	0.019030	-0.164593	-0.272152	-0.186657	-0.143314	-0.239202	-0.256762	0.027058	-0.284565	-0.215681	-0.162754	-0.250212	0.001841	0.001020	-0.301359	-0.388613	-0.045778	-0.139997	0.454687	-0.387234	0.085884	-9999	-9999	-0.263927	-0.388136	-0.325481	-9999	-9999	-0.452563	-0.382658	-0.033924	-0.397968	-9999	-0.261696	-9999	-9999	-9999	-0.393554	-0.151543	-0.032026	-0.063758	-0.442694	-0.096381	-9999	-9999	
